time,voltage1,voltage2,voltage3,voltage4,voltage5,current1,current2,current3,current4,current5
1895.9,-70.0378418,-70.28198242,-70.28198242,-70.46508789,-70.52612305,0,0,0,0,0
1895.95,-70.00732422,-70.28198242,-70.28198242,-70.49560547,-70.49560547,0,0,0,0,0
1896,-70.0378418,-70.28198242,-70.28198242,-70.46508789,-70.49560547,0,0,0,0,0
1896.05,-70.09887695,-70.28198242,-70.28198242,-70.49560547,-70.46508789,0,0,0,0,0
1896.1,-70.00732422,-70.3125,-70.28198242,-70.46508789,-70.52612305,0,0,0,0,0
1896.15,-70.00732422,-70.3125,-70.28198242,-70.52612305,-70.49560547,0,0,0,0,0
1896.2,-70.06835938,-70.34301758,-70.3125,-70.43457031,-70.49560547,0,0,0,0,0
1896.25,-70.06835938,-70.3125,-70.28198242,-70.43457031,-70.46508789,0,0,0,0,0
1896.3,-70.00732422,-70.28198242,-70.28198242,-70.49560547,-70.52612305,0,0,0,0,0
1896.35,-70.0378418,-70.3125,-70.3125,-70.49560547,-70.49560547,0,0,0,0,0
1896.4,-70.06835938,-70.34301758,-70.34301758,-70.43457031,-70.46508789,0,0,0,0,0
1896.45,-70.00732422,-70.3125,-70.3125,-70.49560547,-70.46508789,0,0,0,0,0
1896.5,-70.0378418,-70.3125,-70.3125,-70.49560547,-70.49560547,0,0,0,0,0
1896.55,-70.06835938,-70.3125,-70.3125,-70.49560547,-70.46508789,0,0,0,0,0
1896.6,-70.00732422,-70.37353516,-70.34301758,-70.49560547,-70.46508789,0,0,0,0,0
1896.65,-69.97680664,-70.3125,-70.3125,-70.49560547,-70.49560547,0,0,0,0,0
1896.7,-70.00732422,-70.28198242,-70.28198242,-70.49560547,-70.49560547,0,0,0,0,0
1896.75,-70.0378418,-70.3125,-70.34301758,-70.49560547,-70.52612305,0,0,0,0,0
1896.8,-69.97680664,-70.3125,-70.34301758,-70.49560547,-70.49560547,0,0,0,0,0
1896.85,-70.00732422,-70.34301758,-70.28198242,-70.43457031,-70.49560547,0,0,0,0,0
1896.9,-70.0378418,-70.3125,-70.3125,-70.49560547,-70.49560547,0,0,0,0,0
1896.95,-69.97680664,-70.34301758,-70.28198242,-70.49560547,-70.49560547,0,0,0,0,0
1897,-69.97680664,-70.28198242,-70.3125,-70.49560547,-70.49560547,0,0,0,0,0
1897.05,-70.00732422,-70.28198242,-70.28198242,-70.49560547,-70.46508789,0,0,0,0,0
1897.1,-70.0378418,-70.3125,-70.28198242,-70.49560547,-70.49560547,0,0,0,0,0
1897.15,-70.00732422,-70.34301758,-70.37353516,-70.49560547,-70.49560547,0,0,0,0,0
1897.2,-69.97680664,-70.28198242,-70.34301758,-70.46508789,-70.46508789,0,0,0,0,0
1897.25,-70.0378418,-70.28198242,-70.28198242,-70.49560547,-70.46508789,0,0,0,0,0
1897.3,-70.00732422,-70.37353516,-70.28198242,-70.52612305,-70.49560547,0,0,0,0,0
1897.35,-69.97680664,-70.34301758,-70.28198242,-70.52612305,-70.46508789,0,0,0,0,0
1897.4,-70.00732422,-70.3125,-70.3125,-70.46508789,-70.43457031,0,0,0,0,0
1897.45,-70.0378418,-70.28198242,-70.25146484,-70.49560547,-70.46508789,0,0,0,0,0
1897.5,-70.0378418,-70.34301758,-70.28198242,-70.49560547,-70.46508789,0,0,0,0,0
1897.55,-70.00732422,-70.34301758,-70.3125,-70.49560547,-70.49560547,0,0,0,0,0
1897.6,-70.00732422,-70.3125,-70.34301758,-70.49560547,-70.49560547,0,0,0,0,0
1897.65,-70.0378418,-70.28198242,-70.28198242,-70.46508789,-70.49560547,0,0,0,0,0
1897.7,-70.00732422,-70.28198242,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1897.75,-69.97680664,-70.28198242,-70.28198242,-70.49560547,-70.46508789,0,0,0,0,0
1897.8,-70.0378418,-70.28198242,-70.3125,-70.52612305,-70.49560547,0,0,0,0,0
1897.85,-70.06835938,-70.3125,-70.34301758,-70.46508789,-70.49560547,0,0,0,0,0
1897.9,-70.00732422,-70.28198242,-70.25146484,-70.49560547,-70.43457031,0,0,0,0,0
1897.95,-70.00732422,-70.34301758,-70.25146484,-70.46508789,-70.43457031,0,0,0,0,0
1898,-70.00732422,-70.28198242,-70.28198242,-70.49560547,-70.49560547,0,0,0,0,0
1898.05,-70.0378418,-70.3125,-70.25146484,-70.43457031,-70.49560547,0,0,0,0,0
1898.1,-70.00732422,-70.3125,-70.25146484,-70.40405273,-70.46508789,0,0,0,0,0
1898.15,-69.97680664,-70.34301758,-70.25146484,-70.43457031,-70.43457031,0,0,0,0,0
1898.2,-70.0378418,-70.34301758,-70.28198242,-70.46508789,-70.46508789,0,0,0,0,0
1898.25,-70.00732422,-70.28198242,-70.34301758,-70.46508789,-70.46508789,0,0,0,0,0
1898.3,-69.97680664,-70.3125,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1898.35,-69.94628906,-70.3125,-70.28198242,-70.46508789,-70.46508789,0,0,0,0,0
1898.4,-69.97680664,-70.28198242,-70.3125,-70.49560547,-70.43457031,0,0,0,0,0
1898.45,-70.00732422,-70.25146484,-70.34301758,-70.49560547,-70.43457031,0,0,0,0,0
1898.5,-69.94628906,-70.22094727,-70.34301758,-70.49560547,-70.43457031,0,0,0,0,0
1898.55,-69.94628906,-70.28198242,-70.28198242,-70.43457031,-70.43457031,0,0,0,0,0
1898.6,-69.97680664,-70.25146484,-70.3125,-70.43457031,-70.49560547,0,0,0,0,0
1898.65,-70.00732422,-70.28198242,-70.3125,-70.43457031,-70.40405273,0,0,0,0,0
1898.7,-69.94628906,-70.25146484,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1898.75,-69.94628906,-70.28198242,-70.34301758,-70.46508789,-70.43457031,0,0,0,0,0
1898.8,-70.00732422,-70.28198242,-70.3125,-70.46508789,-70.43457031,0,0,0,0,0
1898.85,-70.00732422,-70.28198242,-70.3125,-70.43457031,-70.46508789,0,0,0,0,0
1898.9,-69.94628906,-70.25146484,-70.28198242,-70.46508789,-70.46508789,0,0,0,0,0
1898.95,-69.94628906,-70.28198242,-70.28198242,-70.49560547,-70.43457031,0,0,0,0,0
1899,-69.97680664,-70.25146484,-70.28198242,-70.49560547,-70.43457031,0,0,0,0,0
1899.05,-69.97680664,-70.22094727,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1899.1,-69.94628906,-70.19042969,-70.28198242,-70.46508789,-70.49560547,0,0,0,0,0
1899.15,-69.94628906,-70.22094727,-70.3125,-70.43457031,-70.49560547,0,0,0,0,0
1899.2,-70.00732422,-70.25146484,-70.3125,-70.43457031,-70.46508789,0,0,0,0,0
1899.25,-70.00732422,-70.25146484,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1899.3,-69.97680664,-70.25146484,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1899.35,-69.97680664,-70.25146484,-70.28198242,-70.46508789,-70.46508789,0,0,0,0,0
1899.4,-69.97680664,-70.28198242,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1899.45,-70.00732422,-70.28198242,-70.28198242,-70.49560547,-70.49560547,0,0,0,0,0
1899.5,-70.00732422,-70.25146484,-70.28198242,-70.49560547,-70.49560547,0,0,0,0,0
1899.55,-70.00732422,-70.25146484,-70.28198242,-70.49560547,-70.43457031,0,0,0,0,0
